"bin_number","scheme","brand","type","country","bank_name","bank_url","bank_phone","bank_city"
"57913600","MasterCard","Platinum","Prepaid","IND","Wells Fargo","www.chase.com","+18001234567","London"
"68024700","MasterCard","Platinum","Prepaid","GBR","Bank of America","www.barclays.com","+18001234567","Mumbai"
"79135800","Amex","Gold","Debit","CAN","Barclays","www.barclays.com","+18001234567","Mumbai"
"80246900","Discover","Business","Prepaid","USA","Barclays","www.bofa.com","+919876543210","Sydney"
"91357000","MasterCard","Gold","Credit","USA","Wells Fargo","www.wellsfargo.com","+61391234567","New York"
"02468100","Discover","Gold","Prepaid","AUS","Barclays","www.hsbc.com","+61391234567","Mumbai"
"13570301","Amex","Gold","Credit","USA","Chase","www.wellsfargo.com","+61391234567","Sydney"
"24681402","Maestro","Classic","Credit","USA","Bank of America","www.bofa.com","+61391234567","Mumbai"
"35792503","Amex","Business","Credit","CAN","HSBC","www.wellsfargo.com","+448003214567","New York"
"46803604","Amex","Student","Prepaid","USA","Chase","www.barclays.com","+18009876543","Mumbai"
"57914705","Amex","Student","Prepaid","IND","HSBC","www.bofa.com","+18001234567","San Francisco"
"68025806","Visa","Classic","Debit","GBR","Chase","www.hsbc.com","+18001234567","Mumbai"
"79136907","MasterCard","Student","Credit","USA","Chase","www.chase.com","+919876543210","New York"
"80247008","MasterCard","Student","Credit","USA","HSBC","www.barclays.com","+61391234567","New York"
"91358109","MasterCard","Platinum","Prepaid","USA","HSBC","www.chase.com","+919876543210","London"
"02469210","Amex","Business","Debit","GBR","Barclays","www.chase.com","+18001234567","New York"
"13570311","Maestro","Classic","Debit","IND","Chase","www.hsbc.com","+61391234567","London"
"24681412","Discover","Student","Prepaid","USA","Wells Fargo","www.chase.com","+448003214567","New York"
"35792513","Maestro","Gold","Credit","IND","Wells Fargo","www.hsbc.com","+919876543210","London"
"46803614","Visa","Business","Credit","CAN","Barclays","www.bofa.com","+18001234567","Sydney"
"57914715","Discover","Classic","Debit","CAN","Wells Fargo","www.hsbc.com","+18009876543","San Francisco"
"68025816","Maestro","Classic","Prepaid","USA","Chase","www.bofa.com","+18009876543","Mumbai"
"79136917","Amex","Student","Debit","AUS","Bank of America","www.bofa.com","+18001234567","San Francisco"
"80247018","Visa","Platinum","Prepaid","IND","Bank of America","www.wellsfargo.com","+919876543210","Sydney"
"91358119","Maestro","Business","Debit","GBR","Wells Fargo","www.hsbc.com","+919876543210","San Francisco"
"02469220","Discover","Student","Debit","AUS","Bank of America","www.chase.com","+448003214567","Sydney"
"13570321","Amex","Student","Credit","AUS","Barclays","www.wellsfargo.com","+18009876543","New York"
"24681422","Visa","Student","Debit","AUS","Barclays","www.wellsfargo.com","+61391234567","London"
"35792523","Amex","Student","Prepaid","IND","Bank of America","www.hsbc.com","+919876543210","Sydney"
"46803624","Maestro","Classic","Prepaid","AUS","Bank of America","www.hsbc.com","+61391234567","Sydney"
"57914725","Maestro","Gold","Credit","AUS","Wells Fargo","www.hsbc.com","+18001234567","San Francisco"
"68025826","Amex","Classic","Prepaid","CAN","Chase","www.chase.com","+448003214567","Mumbai"
"79136927","Maestro","Gold","Prepaid","GBR","Wells Fargo","www.bofa.com","+18009876543","San Francisco"
"80247028","Amex","Platinum","Debit","USA","Barclays","www.barclays.com","+18009876543","Sydney"
"91358129","MasterCard","Gold","Debit","CAN","Bank of America","www.wellsfargo.com","+61391234567","New York"
"02469230","Visa","Student","Credit","CAN","Bank of America","www.bofa.com","+18009876543","Sydney"
"13570331","Amex","Classic","Debit","USA","HSBC","www.hsbc.com","+61391234567","London"
"24681432","Maestro","Business","Credit","IND","Barclays","www.barclays.com","+61391234567","Sydney"
"35792533","Maestro","Student","Prepaid","CAN","HSBC","www.barclays.com","+18001234567","Sydney"
"46803634","MasterCard","Student","Prepaid","AUS","Bank of America","www.chase.com","+18001234567","New York"
"57914735","Discover","Gold","Prepaid","CAN","Barclays","www.chase.com","+18001234567","Mumbai"
"68025836","Maestro","Student","Debit","IND","Bank of America","www.barclays.com","+18009876543","Sydney"
"79136937","Discover","Gold","Prepaid","IND","HSBC","www.chase.com","+919876543210","Mumbai"
"80247038","MasterCard","Student","Credit","CAN","Barclays","www.wellsfargo.com","+18009876543","San Francisco"
"91358139","Maestro","Business","Prepaid","IND","Chase","www.barclays.com","+61391234567","Mumbai"
"02469240","Visa","Student","Debit","USA","HSBC","www.barclays.com","+448003214567","Mumbai"
"13570341","Amex","Student","Debit","AUS","Chase","www.wellsfargo.com","+448003214567","New York"
"24681442","Visa","Platinum","Credit","AUS","Wells Fargo","www.wellsfargo.com","+448003214567","Mumbai"
"35792543","MasterCard","Platinum","Credit","GBR","HSBC","www.wellsfargo.com","+18001234567","London"
"46803644","Maestro","Classic","Prepaid","USA","Chase","www.hsbc.com","+18001234567","London"
